#{"t_start": 1685734233.8941262, "env_id": null}
r,l,t
1463,497,2.46673
11315,48,2.533073
35474,546,3.261333
69373,400,3.763248
11149,47,3.834106
26295,113,3.979264
13799,73,4.085072
54861,205,4.343955
19704,407,6.631281
31965,328,7.079086
40069,104,7.222701
11144,47,7.290519
56201,205,7.576823
20104,87,7.707505
64880,242,8.054666
69912,198,8.344862
52660,169,8.588212
42908,164,8.833557
50195,193,9.118886
27064,127,11.167243
32165,168,11.417985
19236,73,11.53125
48122,164,11.774164
165909,708,12.823953
27064,127,13.024448
35760,193,13.318691
47532,157,13.564007
18997,432,16.105007
45754,113,16.281509
27044,127,16.47216
37482,125,16.664711
66035,283,17.081597
77072,323,17.579298
42989,118,17.765803
87931,232,18.122949
130269,298,18.591766
26749,367,21.063177
53231,205,21.373352
27049,127,21.563922
49385,146,21.786424
55427,559,22.611724
17715,88,22.756342
61634,406,23.377414
36065,248,23.763409
42342,791,26.856673
67054,438,27.518902
20265,88,27.663516
60940,205,27.984663
47501,169,28.25604
11149,47,28.334393
50342,206,28.661031
35115,208,28.992152
11315,48,29.082904
193151,714,32.014235
26799,73,32.128955
155564,316,32.61366
20114,87,32.752289
39161,124,32.946307
115289,216,33.28145
34949,207,33.610516
86145,268,34.03538
85922,277,36.360233
25128,84,36.489892
48652,158,36.726823
106126,229,37.064616
20099,87,37.199319
11315,48,37.275165
38436,125,37.464231
32497,124,37.656718
27049,127,37.857211
42971,166,38.112533
37219,154,38.354419
41314,141,38.577914
39542,108,38.754472
47157,109,38.93606
31794,327,41.318436
27215,128,41.510429
20265,88,41.645106
26915,368,42.186652
11315,48,42.2614
57005,405,42.854099
40825,393,43.460452
34919,117,43.649536
20094,87,43.790165
32984,126,43.995674
11149,47,44.078484
24960,85,44.221611
27054,127,46.30492
69230,442,46.95621
11315,48,47.031981
11315,48,47.108776
11315,48,47.18065
25563,85,47.310867
35899,247,47.691493
-286650,1269,51.515587
99580,214,51.836364
32165,168,52.085743
59082,227,52.427493
35899,247,52.810469
18627,74,52.932145
13146,519,53.715333
11144,47,53.794519
36065,248,54.18565
21933,73,54.308322
27049,127,56.385589
20265,88,56.521226
105351,316,56.986531
43642,154,57.223938
11149,47,57.2993
63934,300,57.740684
34849,287,58.177517
35115,208,58.508198
33177,124,58.708666
19547,74,58.826917
37017,125,59.025975
26915,368,61.475528
58343,191,61.760732
66990,223,62.095438
27049,127,62.284982
32165,168,62.541892
21982,73,62.661108
20099,87,62.79927
56535,206,63.121412
43026,366,63.685342
42606,111,63.867396
224523,622,66.686243
11164,47,66.761071
20265,88,66.900702
46539,245,67.264254
35904,247,67.627221
20265,88,67.766978
11315,48,67.846766
32271,127,68.049829
74246,477,68.777576
16421,72,68.898255
11149,47,68.979038
97628,257,69.385467
40649,204,71.610255
25149,167,71.866596
63153,326,72.356288
57780,202,72.666161
20099,87,72.806816
11315,48,72.88763
23287,85,73.02782
58761,158,73.27766
20114,87,73.420279
11315,48,73.508072
-235,488,74.255111
64907,200,74.574879
11149,47,76.525888
24287,113,76.698424
27049,127,76.891882
22249,193,77.18423
34949,207,77.48948
43278,113,77.675052
38084,107,77.839149
20094,87,77.979804
27215,128,78.181262
20265,88,78.318868
130622,359,78.872262
107127,286,79.316475
77526,550,82.032742
20099,87,82.167356
51167,204,82.468587
207850,360,83.018765
