#{"t_start": 1685741766.7682984, "env_id": null}
r,l,t
33660,135,1.992961
26873,112,2.244801
11149,47,2.352513
-11566,726,3.963115
11149,47,4.07309
49220,165,4.44183
11315,48,4.551537
120692,522,5.719543
46382,247,6.276149
46324,152,6.661153
20099,87,6.881595
20265,88,7.109207
11315,48,7.237028
11315,48,7.369262
24965,74,7.569725
11144,47,7.696388
25692,85,7.920414
24835,84,8.13902
11154,47,8.260355
53990,205,8.790104
33963,107,9.072318
13799,73,9.268764
34773,112,9.560045
89899,273,10.266213
11164,47,10.400851
20265,88,10.632652
11315,48,10.771535
33721,115,11.075855
77455,190,11.584914
11149,47,11.717707
8715,48,11.857023
11315,48,11.997433
11315,48,12.137912
