#{"t_start": 1685736041.1088688, "env_id": null}
r,l,t
21963,97,0.137156
27215,128,0.151119
76502,358,0.189018
80569,234,0.213952
66885,363,0.257835
97596,209,0.279804
20099,87,0.289748
26975,78,0.298753
51049,163,0.317676
27049,127,0.331665
20265,88,0.342637
58906,234,0.366543
54840,268,0.395466
34849,287,0.424389
27215,128,0.438351
91127,380,0.477111
20095,112,0.491046
61349,204,0.511526
11315,48,0.51751
35115,208,0.54042
20265,88,0.550424
104229,276,0.57832
53879,187,0.597298
77415,239,0.621811
43717,113,0.635746
34949,207,0.656718
127306,339,0.690599
20099,87,0.699603
77798,184,0.721026
50360,140,0.735984
31994,167,0.752969
20265,88,0.761945
27215,128,0.776875
11315,48,0.782485
35115,208,0.803457
11315,48,0.809413
36065,248,0.835344
29998,628,0.898679
76224,277,0.927213
147009,369,0.96511
27049,127,0.980071
20265,88,0.989046
38199,165,1.006999
57006,204,1.027532
38358,115,1.041429
20099,87,1.050406
140270,950,1.145748
-85651,687,2.052886
175154,427,2.097794
168693,356,2.1357
71110,232,2.159664
107212,353,2.195185
31999,167,2.214135
36336,193,2.234081
20273,112,2.246022
39674,124,2.259014
20265,88,2.269959
36215,194,2.289904
31864,112,2.301899
57855,282,2.330822
103730,311,2.363656
115533,267,2.391609
43399,112,2.403577
34949,207,2.424493
22325,76,2.434469
27564,115,2.446437
65353,144,2.462194
34793,112,2.47419
41577,147,2.490119
52037,187,2.510067
41893,118,2.522064
11149,47,2.528058
66770,674,2.597489
79729,185,2.616497
138082,427,2.659355
47393,164,2.676339
26885,443,2.722215
129811,349,2.75809
11149,47,2.764103
20265,88,2.773383
20265,88,2.784325
25520,85,2.793302
25233,112,2.805272
94333,280,2.833472
100497,253,2.860689
20114,87,2.870274
32165,168,2.888226
32165,168,2.905153
55024,193,2.926097
20099,87,2.940542
25168,85,2.953535
50123,205,2.975448
11154,47,2.98243
35115,208,3.003756
19003,602,3.064592
31965,328,3.106704
20265,88,3.11668
53745,390,3.157285
20099,87,3.166261
58147,158,3.183218
-338626,1506,3.335373
38470,124,3.34944
11315,48,3.354398
30615,168,3.372411
44157,156,3.390361
11149,47,3.395347
11315,48,3.401304
