#{"t_start": 1685775315.2208188, "env_id": null}
r,l,t
19296,117,0.969711
-966818,473,1.022599
-59579,232,1.048529
-31936,127,1.063489
-1038123,323,1.101361
-116988,266,1.131279
10644,47,1.137291
4438,110,1.150229
-221271,285,1.182172
-217974,233,1.208102
-1630080,564,1.268912
-810885,408,1.312795
10815,48,1.319775
-485,88,1.330747
10815,48,1.336731
10815,48,1.342202
1887,77,1.352149
-214546,281,1.383065
-156948,195,1.405469
-102558,224,1.430405
10644,47,1.438356
10815,48,1.443342
-48567,147,1.460297
15708,124,1.475257
-101982,203,1.497366
-651,87,1.507308
25106,85,1.517308
-803095,441,1.566178
-154385,208,1.590087
-1074325,502,1.645418
-24737,118,1.658413
-34549,165,1.677359
-31951,127,1.693316
-221942,286,1.724708
-646,87,1.73571
10815,48,1.741696
-83085,168,1.760614
-83085,168,1.77959
443,117,1.79354
-307754,148,1.810496
10644,47,1.817449
43351,119,1.830415
-412817,158,1.848363
-16473,224,1.873297
-33651,87,1.884816
-216231,269,1.91477
-174431,233,1.940696
-87845,106,1.952663
-656,87,1.964603
-83085,168,1.982555
24378,85,1.99253
-50039,119,2.006521
25332,83,2.023424
-5560,125,2.041376
-74974,72,2.050354
-651,87,2.060327
-485,88,2.071261
-31785,128,2.086221
10815,48,2.092205
18082,112,2.104173
-31956,127,2.143584
-53249,164,2.162211
10649,47,2.168195
-356985,288,2.20011
-488285,328,2.236984
10815,48,2.242994
-172317,245,2.269896
-381173,185,2.291837
40353,158,2.310816
10815,48,2.31677
-154385,208,2.339708
-1002185,448,2.389576
15628,125,2.405402
-506500,270,2.435322
-872068,305,2.469794
-273533,250,2.497376
-3624051,807,2.587643
10815,48,2.593657
-82968,205,2.616559
10654,47,2.622541
-412612,325,2.659977
10654,47,2.665961
-1144356,474,2.716799
-1332244,519,2.773649
-598955,356,2.813215
-31956,127,2.828099
-11428,167,2.847075
-664110,511,2.903899
10664,47,2.91158
-307100,318,2.946487
-651,87,2.956607
-98514,241,2.983535
-74984,72,2.993508
-213823,244,3.020436
-83251,167,3.039386
25411,85,3.050357
-67034,112,3.063322
16445,123,3.078282
-1444951,527,3.135129
-154385,208,3.159095
-485,88,3.170065
-141845,147,3.185994
-538906,208,3.20993
-621492,398,3.253322
-776321,444,3.32114
-485,88,3.331116
-31785,128,3.346074
-769661,353,3.385475
10649,47,3.392226
-485,88,3.403197
44223,150,3.420151
-575425,272,3.450633
10649,47,3.457587
-2031157,595,3.522413
10649,47,3.528398
-31785,128,3.543358
-177967,188,3.565805
-651,87,3.575807
-611455,406,3.62066
-485,88,3.631658
-437208,216,3.657561
10649,47,3.663544
10815,48,3.668531
-5090,125,3.682776
-6262556,764,3.766524
-154551,207,3.789463
10815,48,3.795475
-83085,168,3.814424
-485,88,3.826364
-485,88,3.83694
-429698,392,3.879853
-450188,409,3.925704
10649,47,3.93397
-31785,128,3.947961
-31785,128,3.962893
-154385,208,3.98586
-398288,355,4.026723
-175670,130,4.051655
-656,87,4.063623
10815,48,4.070605
-753009,379,4.116482
-745442,479,4.168344
-33651,165,4.188291
-213603,283,4.220205
-58361,201,4.244141
10815,48,4.250126
10437,141,4.268076
-147305,129,4.283037
10644,47,4.291016
-245685,248,4.318969
-413099,325,4.354844
-109834,193,4.376786
-154385,208,4.400723
-83085,168,4.419672
-24399,117,4.442611
-514247,273,4.488488
-123754,135,4.505442
-33747,164,4.526388
-261481,285,4.563288
-14466,166,4.587224
-649293,372,4.629112
-4946,124,4.643075
18194,108,4.655043
10649,47,4.661028
-51205,73,4.671
-83251,167,4.689949
-620755,396,4.733833
10649,47,4.739817
-31785,128,4.755773
-485,88,4.765746
-485,88,4.776718
-1588738,449,4.825587
-324254,371,4.868473
10649,47,4.874456
10815,48,4.881438
-485,88,4.891411
-55737,205,4.915347
-114085,199,4.938286
10649,47,4.944271
-485,88,4.954753
-10469,165,4.9747
10815,48,4.979686
-24401,118,4.993648
10649,47,4.999633
-485,88,5.010772
-74813,73,5.019748
-215813,285,5.051198
-356985,288,5.084109
-135598,139,5.101065
10649,47,5.10605
10815,48,5.112035
-126912,302,5.145945
-258431,284,5.177892
25250,84,5.187863
-651,87,5.198807
25367,85,5.208807
-73978,237,5.235707
14848,125,5.250667
10654,47,5.256651
10815,48,5.262143
-31785,128,5.2781
10815,48,5.284112
16595,126,5.298074
-485,88,5.30802
-485,88,5.319988
-356985,288,5.351902
-31785,128,5.366429
-459236,381,5.408316
-656,87,5.420284
26422,79,5.429811
-245851,247,5.4571
-485,88,5.467813
-607705,407,5.517682
-485,88,5.52862
-485,88,5.538594
10815,48,5.544578
25235,85,5.555549
-147166,241,5.582504
-9835,165,5.601454
-373115,160,5.619377
-448274,360,5.67523
15559,124,5.689192
-644482,280,5.721107
-651,87,5.73108
-31785,128,5.747037
-31785,128,5.761972
10815,48,5.767928
-83085,168,5.786879
-80575,76,5.796879
-235589,285,5.828794
10815,48,5.834777
-33748,165,5.85273
-154551,207,5.876954
-314023,165,5.895904
-316398,319,5.931808
10664,47,5.937792
-485,88,5.949732
-639585,368,5.989625
-267644,280,6.020544
-70783,221,6.045476
14806,124,6.060436
-31946,127,6.07545
-31785,128,6.090265
-117076,212,6.115004
-1217413,599,6.18878
-245856,247,6.216704
-574163,270,6.246624
-656,87,6.25615
10815,48,6.264101
-31785,128,6.278063
-263875,139,6.294021
-612276,405,6.338902
-15685,48,6.345882
-24713,156,6.363834
-104934,304,6.396747
-656,87,6.407386
16271,126,6.423315
1743,77,6.432291
-245851,247,6.460218
-537534,233,6.486175
31798,265,6.518093
-5237,125,6.532026
-651,87,6.541999
-192761,245,6.568964
24328,85,6.579903
15015,125,6.594907
10654,47,6.600554
19260,125,6.615514
25571,84,6.626483
-190523,205,6.64945
-223004,237,6.675353
10649,47,6.681337
10815,48,6.689316
-529362,233,6.716243
-178761,186,6.736191
-31936,127,6.751151
-34071,174,6.772101
10644,47,6.777086
-68156,113,6.791049
-694049,246,7.818646
-320035,274,8.146106
-90839,152,8.326193
10649,47,8.387028
24535,86,8.491748
-207385,112,8.625362
1218,115,8.758036
-1424709,562,9.354571
-485,88,9.460288
-485,88,9.570626
-31785,128,9.719426
-639585,368,10.119898
-1082980,485,10.629535
-83085,168,10.820563
-485,88,10.929272
-172317,245,11.195165
-245851,247,11.460216
-810885,408,11.897557
-28257,77,11.995297
26325,75,12.084055
-59476,204,12.317432
-546965,414,12.765861
-639751,367,13.176777
-1485099,555,13.773616
-500883,208,14.015969
-826246,571,14.640959
25141,83,14.749202
-110161,196,14.970613
-12300,163,15.152128
-651,87,15.253857
10815,48,15.30569
-603101,365,15.695675
-82311,204,15.92013
-31951,127,16.069493
10815,48,16.124949
-1047030,385,16.544465
10649,47,16.594327
10815,48,16.658664
-1121255,601,17.303937
-83251,167,17.490441
4768,108,17.626676
-639756,367,18.030191
19024,190,18.251705
-154551,207,18.480094
-202363,153,18.663576
10649,47,18.730425
10815,48,18.78827
-83085,168,19.002698
-83085,168,19.194747
25351,84,19.299501
10649,47,19.362305
-1897084,599,19.996184
25284,84,20.102895
10649,47,20.164734
-31785,128,20.310341
-388641,326,20.659407
-44355,114,20.798038
-487804,174,20.99751
-624366,428,21.479271
10644,47,21.543606
-485,88,21.659804
-31785,128,21.8114
10815,48,21.872236
-122505,241,22.158499
-74979,72,22.241251
-60436,201,22.460692
42159,117,22.592371
3131,150,22.753942
-49591,196,22.968802
-70657,217,23.215144
-50885,74,23.303906
10644,47,23.358732
-32437,164,23.547257
24628,84,23.642973
-56272,205,23.868398
-143715,148,24.0569
10649,47,24.113748
10815,48,24.178578
-341469,118,24.319234
-656,87,24.425461
-117707,242,24.703281
-58395,205,24.948597
-485,88,25.053317
-485,88,25.159061
10815,48,25.219901
-31785,128,25.375961
-154385,208,25.607409
-197123,272,25.923131
-14511,165,26.114159
-646,87,26.214897
-485,88,26.323571
-485,88,26.433279
42783,118,26.562931
-357151,287,26.890563
-643357,355,27.270937
-58356,205,27.516282
-650279,449,28.032012
-38468,285,28.350161
-263470,235,28.611463
-830188,446,29.090673
24391,84,29.203406
-13939,164,29.390473
-681710,404,29.829301
-31785,128,29.977904
19605,120,30.113541
10649,47,30.178367
10815,48,30.238743
-3729,124,30.386563
-651,87,30.514229
-158388,277,30.875774
10649,47,30.937119
10815,48,30.998552
-103585,74,31.094775
-330102,324,31.498694
-651,87,31.607404
-23117,73,31.694207
-651,87,31.788947
-83085,168,31.971459
-154385,208,32.191439
-31785,128,32.329103
4266,112,32.456576
45970,110,32.582715
10644,47,32.639565
-485,88,32.737301
-31785,128,32.878923
-4801499,941,33.854988
69349,295,34.182106
-745589,419,34.635894
10664,47,34.696731
10815,48,34.759563
-320235,267,35.059308
641,83,35.167021
17886,124,35.311305
-503725,332,35.672469
-51260,114,35.80312
-60379,203,36.027519
10649,47,36.082373
-31785,128,36.229979
-3185,48,36.295803
-15883,100,36.412492
-467331,394,36.835036
-245851,247,37.103444
-30192,200,37.324417
24248,84,37.430135
10654,47,37.490973
-245685,248,37.767234
-121479,267,38.057023
-273452,268,38.35426
-488451,327,38.712896
-31785,128,38.867483
41704,118,39.004118
-872996,385,39.427992
-244693,256,39.714156
-606612,238,39.978046
-656,87,40.089747
-154385,208,40.317142
15720,125,40.464745
-83251,167,40.655233
-22235,114,40.791871
-475286,362,41.187633
18058,124,41.340256
10815,48,41.39611
-485,88,41.5095
-656886,330,41.904041
-32524,163,42.088548
-83251,167,42.279038
-771603,442,42.760348
10654,47,42.817198
10815,48,42.878036
10815,48,42.93987
-31785,128,43.093057
-81429,204,43.32055
-76651,73,43.413272
25180,83,43.516355
10649,47,43.5796
10815,48,43.641407
-23068,73,43.727206
-50299,163,43.908721
10649,47,43.968563
-1213485,488,44.494726
25615,84,44.593468
-143527,279,44.898215
-323684,178,45.091699
-124814,204,45.326109
-53134,73,45.420856
54905,158,45.607385
-357151,287,45.927562
-83085,168,46.119081
-485,88,46.228819
-125456,113,46.363459
-357151,287,46.676187
-34080,165,46.861692
-341949,229,47.110025
10649,47,47.171862
19527,112,47.304972
-154551,207,47.536274
-377273,208,47.770351
10649,47,47.829789
-78967,241,48.100631
-155979,237,48.365921
-31956,127,48.516492
-182466,270,48.816689
24200,85,48.921001
-2162654,675,49.649777
-3729,124,49.793394
-162010,309,50.128498
-536125,230,50.385808
-58395,205,50.616729
-485,88,50.721107
-154385,208,50.962494
24337,85,51.065254
-1511646,515,51.618906
-54977,164,51.798429
10654,47,51.86026
-153081,181,52.071698
16225,195,52.290679
10649,47,52.35269
10815,48,52.411532
10815,48,52.471401
-92667,99,52.588095
-31951,127,52.7434
-83085,168,52.934001
-485,88,53.0467
18387,125,53.21126
10815,48,53.273092
-229354,268,53.572292
-946388,401,54.011184
-1337795,458,54.503468
-103317,229,54.750802
-651,87,54.855522
-76485,74,54.950269
26724,74,55.039032
19054,126,55.183645
-116813,113,55.323271
-125659,241,55.588306
-485,88,55.695051
-158419,195,55.913468
-728064,416,56.36526
10649,47,56.420115
-280787,295,56.739794
-62117,204,56.970242
-83246,167,57.165315
27205,77,57.254078
-72637,112,57.393705
10649,47,57.458504
1791,77,57.556271
-122977,106,57.684927
-656,87,57.790645
41033,118,57.938223
10649,47,57.999088
-485,88,58.103814
-116195,95,58.222518
-639071,401,58.653506
-62763,206,58.884917
10649,47,58.952736
-76485,74,59.044491
10644,47,59.099345
-94321,217,59.341698
-157334,234,59.606986
-154556,207,59.836406
-133828,246,60.107483
-639746,367,60.510153
-3397,157,60.687681
-79080,147,60.85623
-83256,167,61.059687
-485,88,61.171389
-3773,124,61.316566
-202154,186,61.520082
10649,47,61.578924
-1160241,524,62.158802
10649,47,62.219645
5140,147,62.391181
-498561,359,62.785128
19364,124,62.929784
20789,116,63.07343
-651,87,63.181193
10815,48,63.243032
-119341,236,63.509213
-31951,127,63.657264
10815,48,63.720659
-485,88,63.82694
-125456,113,63.961581
10649,47,64.023415
-485,88,64.131129
10815,48,64.190968
-5489,156,64.371459
-651,87,64.483187
10815,48,64.543027
10815,48,64.619824
10815,48,64.681657
10815,48,64.739503
-4608,125,64.882151
10649,47,64.948973
-485,88,65.056721
10815,48,65.117586
-83085,168,65.30864
-485,88,65.421805
10815,48,65.484637
-1694433,687,66.210696
-245836,247,66.493004
-5970509,780,67.320388
-133189,116,67.466969
-656,87,67.575705
-31785,128,67.722877
10815,48,67.791696
-485,88,67.902432
-237863,152,68.083979
10644,47,68.149365
15803,125,68.294543
10649,47,68.356378
-133029,275,68.65857
-245685,248,68.929847
-740856,322,69.28303
26429,75,69.376812
-23463,153,69.558325
63171,151,69.727746
10644,47,69.786124
-347736,355,70.18765
-651,87,70.301351
-83085,168,70.494828
-105732,173,70.691303
27053,78,70.791037
-83256,167,70.979563
-173717,291,71.306312
-48930,72,71.398098
-651,87,71.511358
10815,48,71.57276
-31785,128,71.721924
10815,48,71.778773
-44020,156,71.963286
-2487629,721,72.73827
10644,47,72.806086
-240573,205,73.033483
10815,48,73.093913
-31785,128,73.242515
10815,48,73.306345
-563018,277,73.617486
-48915,72,73.717219
-663280,385,74.143849
-127410,182,74.349815
-656,87,74.454535
-245685,248,74.738382
-154385,208,74.976741
-485,88,75.091435
-485,88,75.201143
-846189,369,75.625425
-651,87,75.733728
-485,88,75.840444
-198974,153,76.024415
-651,87,76.153167
