#{"t_start": 1685739311.7708476, "env_id": null}
r,l,t
28913,137,1.883299
37564,125,2.042966
20104,87,2.153235
25090,153,2.348433
46947,165,2.561379
20104,87,2.674702
27215,128,2.839291
11315,48,2.902126
69528,174,3.124651
11149,47,3.188507
94174,247,3.498305
31994,167,3.712358
107321,273,4.055203
10664,447,6.353366
20265,88,6.488603
79903,173,6.737582
55680,203,7.027294
32004,167,7.279264
32165,168,7.535151
11315,48,7.612941
27215,128,7.803036
56341,227,8.145154
10649,447,8.801412
11315,48,8.880172
11315,48,8.963591
11315,48,9.043376
59882,201,11.231434
31999,167,11.490633
11315,48,11.568425
11315,48,11.646189
32032,193,11.95695
20099,87,12.093587
61426,158,12.345071
20114,87,12.484757
115472,403,13.083257
27064,127,13.281266
70290,282,13.714358
27049,127,13.923393
20265,88,14.066575
74018,337,16.432541
27044,127,16.632042
20265,88,16.773108
179507,418,17.397205
90795,359,17.948001
27064,127,18.167094
11315,48,18.253481
11315,48,18.343242
11315,48,18.433436
89737,460,19.504576
11144,47,21.361644
24341,77,21.470325
57804,204,21.753059
35115,208,22.0473
77642,238,22.387737
59476,158,22.613135
24794,84,22.736776
11154,47,22.806955
57961,206,23.102166
27215,128,23.294651
24912,86,23.429319
63232,223,23.753453
64865,150,23.996818
41699,119,24.170382
11149,47,24.242191
36065,248,26.429366
32165,168,26.680694
11315,48,26.757491
20265,88,26.891132
51271,150,27.127499
20094,87,27.267127
11315,48,27.349878
88036,375,27.911404
11144,47,27.993159
130939,436,28.659377
56361,226,29.007481
16349,73,29.132115
11144,47,29.211929
137540,368,31.597649
-138637,999,33.069719
20265,88,33.213309
39329,124,33.407816
38498,126,33.609251
20099,87,33.750871
125310,390,36.217155
49875,159,36.455519
46598,286,36.880386
79260,335,37.36808
20094,87,37.501722
11315,48,37.575526
30515,95,37.723131
26744,367,38.267676
69025,207,38.584828
97795,317,39.068536
43618,146,41.138673
11144,47,41.213472
48406,171,41.462806
11149,47,41.538605
32165,168,41.785943
36065,248,42.16191
29312,117,42.345421
38296,125,42.546223
11149,47,42.621022
72143,236,42.978096
31994,167,43.2384
11315,48,43.319184
25851,84,43.452827
11149,47,43.532614
48611,244,43.903631
25002,84,44.047239
58461,204,46.199398
11315,48,46.277219
39501,239,46.632399
11149,47,46.707198
35115,208,47.011385
90265,392,47.595795
31999,167,47.858122
11315,48,47.939903
32165,168,48.198209
111264,378,48.79462
26749,367,51.1972
119225,225,51.53031
68649,481,52.238417
46036,193,52.529639
54211,519,53.313544
27064,127,53.517969
42577,118,53.704342
208871,419,56.188659
33413,113,56.3602
31799,327,56.825955
27215,128,57.0344
11315,48,57.111165
20265,88,57.250819
43378,561,58.088553
55620,134,58.305223
38273,116,58.491727
11149,47,58.570516
12919,495,61.169476
124029,310,61.619274
27049,127,61.814034
24437,77,61.939725
35899,247,62.308736
34945,115,62.486265
35894,247,62.85525
63317,306,63.32368
20099,87,63.469319
55332,206,63.78744
62231,244,66.010382
66592,199,66.305594
46134,377,66.848145
51397,196,67.147316
27049,127,67.343819
52158,286,67.775667
35115,208,68.100768
27215,128,68.30622
11315,48,68.391163
107020,250,68.771153
212971,541,71.434003
68395,262,71.815983
21816,72,71.933738
11149,47,72.010534
11315,48,72.088359
171894,370,72.639921
27049,127,72.843375
7415,48,72.937125
84867,346,73.475686
46474,364,75.882255
33407,125,76.068728
11149,47,76.14619
